frame,skip_reason,translation_jump_mm,rotation_jump_deg,pose_confidence_score,candidate_score,bbox_area,mask_area,temporal_translation_threshold_mm,temporal_rotation_threshold_deg,hold_count_before
000275,temporal_jump_reject,389.8029019596041,29.575744269589027,0.5655757188796997,0.5731950402259827,8880.0,8106,25.0,120.0,2
000340,temporal_jump_reject,115.48452117026382,10.83322209886992,0.5782776474952698,0.6348019242286682,3498.0,2625,25.0,120.0,2
000345,temporal_jump_reject,155.4163842267645,13.765149736520922,0.6114680171012878,0.6493398547172546,3685.0,2667,25.0,120.0,2
000350,temporal_jump_reject,219.31210432500643,19.157321683094114,0.5778016448020935,0.6172757148742676,9204.0,8453,25.0,120.0,2
000355,temporal_jump_reject,212.41591077363398,20.917819854248034,0.5718304514884949,0.6273232102394104,9240.0,8477,25.0,120.0,2
000360,temporal_jump_reject,211.2313180717818,20.455336127304903,0.626145601272583,0.6310351490974426,9027.0,8642,25.0,120.0,2
000365,temporal_jump_reject,216.23018371520016,17.726851605696186,0.615084707736969,0.6285403966903687,9027.0,8395,25.0,120.0,2
000370,temporal_jump_reject,218.9372938044666,18.24649560388108,0.5783015489578247,0.6220535039901733,7308.0,6879,25.0,120.0,2
000375,temporal_jump_reject,212.57033708925798,17.47873769534808,0.6191460490226746,0.6235674023628235,9480.0,8963,25.0,120.0,2
000380,temporal_jump_reject,196.7973848648588,13.784463543026334,0.5625154972076416,0.6278640031814575,9720.0,8754,25.0,120.0,2
000385,temporal_jump_reject,175.71597114146283,13.452827737834328,0.5627197623252869,0.6318901181221008,9720.0,8817,25.0,120.0,2
000390,temporal_jump_reject,163.1588722075438,7.783065442367776,0.5514366626739502,0.6317035555839539,9240.0,8749,25.0,120.0,2
000395,temporal_jump_reject,143.3009152602394,5.381150793211674,0.59284907579422,0.6163756251335144,6545.0,5558,25.0,120.0,2
000400,temporal_jump_reject,129.84609999672088,2.164325173594656,0.5908727645874023,0.5908727645874023,12444.0,11067,25.0,120.0,2
000405,temporal_jump_reject,129.4412717813089,3.2034735024174377,0.5774068832397461,0.6290551424026489,9296.0,8459,25.0,120.0,2
000410,temporal_jump_reject,131.65401414616449,1.1110805618109898,0.6282002925872803,0.6282002925872803,10032.0,9043,25.0,120.0,2
000415,temporal_jump_reject,140.29006030257815,6.33005848706767,0.5702810883522034,0.6248587965965271,9184.0,8828,25.0,120.0,2
000420,temporal_jump_reject,145.67925330802146,10.261343517485694,0.568352460861206,0.6279785633087158,9720.0,8815,25.0,120.0,2
000425,temporal_jump_reject,136.17202313282033,11.193677273469616,0.5568506121635437,0.5613309741020203,9027.0,8608,25.0,120.0,2
000445,temporal_jump_reject,137.50903952980303,22.95676164049377,0.574366569519043,0.6106610298156738,8470.0,7927,25.0,120.0,2
000585,temporal_jump_reject,68.08016211214881,5.184973219065247,0.5750236511230469,0.6232521533966064,7685.0,7015,25.0,120.0,2
000590,temporal_jump_reject,97.1262398671192,2.2622984991413597,0.5676010251045227,0.5676010251045227,10899.0,9916,25.0,120.0,2
000595,temporal_jump_reject,149.04626083157768,5.803470130476224,0.6020551323890686,0.6020551323890686,10168.0,9600,25.0,120.0,2
000600,temporal_jump_reject,191.50423587517426,10.727211019959645,0.5655138492584229,0.5657901167869568,11456.0,10705,25.0,120.0,2
000605,temporal_jump_reject,202.3440572350641,16.358589785406565,0.5746135711669922,0.5978171229362488,3392.0,2603,25.0,120.0,2
000610,temporal_jump_reject,208.2569794270549,17.855689434086237,0.6205742359161377,0.6223976612091064,10208.0,9564,25.0,120.0,2
