group,dataset,outdir,frame,candidate_score,pose_confidence,bbox,bbox_area,mask_area,candidate_depth_valid_ratio,semantic,appearance,geometric,visible_ratio,score_margin,tx,ty,tz,mask_depth_valid_ratio,mask_depth_median_mm,mask_depth_mean_mm,mask_depth_std_mm,mask_depth_iqr_mm,object_center_depth_mm,center_patch_depth_mm,center_depth_abs_error_mm,mask_median_depth_abs_error_mm,projected_point_depth_residual_mm,projected_point_depth_valid_ratio,projected_bbox,projected_bbox_iou,render_mask_iou_approx,bbox_center_distance_px,bbox_scale_ratio,correspondence_count,inlier_count,reprojection_error
only_Milk_normal_sample,only_Milk,jitter_recall_smoothing,000670,0.6194230318069458,0.6185,"[344, 312, 62, 159]",9858.0,9079,0.9532988214561074,0.6516215205192566,0.7462958097457886,0.4603517949581146,1.0,0.01504361629486084,77.42929258124406,221.82774617255535,458.02430141194844,0.9532988214561074,472.0,472.9648757943385,5.644272079456302,5.0,458.02430141194844,468.0,9.975698588051557,13.975698588051557,56.165627985842036,0.9982,"[353.7547979890618, 271.6802261872118, 69.1215803397705, 181.68022652505715]",0.4913573702598767,0.503050510783201,31.892406833397878,0.7849960874808329,not_logged,not_logged,not_logged
only_Milk_normal_sample,only_Milk,jitter_recall_smoothing,000765,0.6185017824172974,0.6185,"[288, 305, 59, 152]",8968.0,8253,0.9760087241003271,0.632835328578949,0.6994563341140747,0.5211864113807678,0.9791666865348816,0.008916735649108887,5.72327239846656,221.6102016394563,500.75299504319753,0.9760087241003271,499.0,499.3235257603973,5.721933275193008,9.0,500.75299504319753,493.0,7.752995043197529,1.7529950431975294,1476.2688950982965,0.9978,"[221.10224437234848, 280.7047150987553, 129.09417061066307, 168.6904292755229]",0.3833101976515835,0.3285137146502233,35.62120072921695,0.4118115514155904,not_logged,not_logged,not_logged
only_Milk_normal_sample,only_Milk,jitter_recall_smoothing,000860,0.6256791949272156,0.6257,"[259, 262, 57, 155]",8835.0,8833,0.9663760896637609,0.6241173148155212,0.736414909362793,0.5153798460960388,0.9897959232330322,0.008881688117980957,-47.38379765771281,190.9072538131665,524.9950689753778,0.9663760896637609,493.0,494.9974226804124,5.799382938475177,9.0,524.9950689753778,488.0,36.99506897537776,31.995068975377762,8.855360525718424,0.9986,"[257.8567433630157, 247.01252252740358, 58.796596101389866, 151.86961805971777]",0.7831937975816162,0.7634676775738228,16.55448088235313,0.9894263424553159,not_logged,not_logged,not_logged
only_Milk_rotation_spike,only_Milk,jitter_recall_smoothing,000150,0.5984697937965393,0.5985,"[373, 269, 53, 110]",5830.0,5223,0.9894696534558682,0.649476170539856,0.7436366677284241,0.40229660272598267,1.0,0.04381752014160156,76.03689809797767,144.90498325100492,505.6779883233836,0.9894696534558682,531.0,531.3095975232198,5.447764971221289,8.0,505.6779883233836,525.0,19.3220116766164,25.3220116766164,177.7460642125094,0.875,"[350.2912263704075, 262.62698574064694, 101.63206397665539, 127.2409745082943]",0.4508279391107768,0.4668046059733717,2.7630443887228293,0.45082793911077673,not_logged,not_logged,not_logged
only_Milk_rotation_spike,only_Milk,jitter_recall_smoothing,000575,0.5762823820114136,0.5763,"[271, 275, 42, 97]",4074.0,4111,1.0,0.6186379790306091,0.6673411726951599,0.4161849617958069,0.8333333134651184,0.030725598335266113,-21.20130234895302,155.90945253203753,622.1832315259264,1.0,591.0,591.9333495499878,8.83610791902063,12.0,622.1832315259264,599.0,23.18323152592643,31.18323152592643,127.40439434542884,0.3942,"[244.55533252989076, 260.8125854922166, 96.3023111637215, 117.6204887124]",0.35966761511081013,0.5051034873830451,3.9410117782589267,0.3596676151108101,not_logged,not_logged,not_logged
only_Milk_rotation_spike,only_Milk,jitter_recall_smoothing,000760,0.6415187120437622,0.6412,"[296, 311, 58, 121]",7018.0,6516,0.9436771025168815,0.6113625168800354,0.6707876920700073,0.6424344778060913,0.96875,0.0194321870803833,9.074265228410091,205.5156948299328,525.2815242626717,0.9436771025168815,492.0,492.56643356643355,6.279525956091498,5.0,525.2815242626717,488.0,37.281524262671724,33.281524262671724,1141.8638314870354,1.0,"[203.13447397971814, 291.00104057186223, 143.00119351329087, 142.89803299343612]",0.2836606448580379,0.2049192472958957,51.171550365345155,0.34343729192188643,not_logged,not_logged,not_logged
only_Milk_rotation_spike,only_Milk,jitter_recall_smoothing,000685,0.569062352180481,0.5472,"[320, 327, 60, 152]",9120.0,8675,0.9620749279538905,0.5790871381759644,0.6858830451965332,0.44090908765792847,0.9897959232330322,0.021849095821380615,52.67056945576456,277.7099759396412,483.0502219701416,0.9620749279538905,470.0,474.3685597891205,10.77293422984289,6.0,483.0502219701416,468.0,15.050221970141592,13.050221970141592,26.165085471093562,0.8924924924924925,"[325.4265404349297, 311.4255293273222, 83.51731161492427, 160.478204513567]",0.541087976933955,0.6007737656595431,20.5869266043665,0.6804594903166475,not_logged,not_logged,not_logged
only_Milk_rotation_spike,only_Milk,jitter_recall_smoothing,000075,0.5966374278068542,0.5966,"[209, 276, 51, 100]",5100.0,4761,0.9970594412938458,0.5973092317581177,0.7417139410972595,0.44785276055336,0.9795918464660645,0.01213914155960083,-113.86136095000903,147.4509703193064,639.5251083219468,0.9970594412938458,577.0,579.2765957446809,6.919042361922217,10.0,639.5251083219468,586.0,53.525108321946846,62.525108321946846,1140.2391538834631,0.999,"[135.40474463888398, 256.1915936513391, 131.6834112557749, 106.70676945884304]",0.30108073247435707,0.2972121777674093,37.102106494779264,0.3629502800437831,not_logged,not_logged,not_logged
only_Milk_rotation_spike,only_Milk,jitter_recall_smoothing,000370,0.6225824952125549,0.6226,"[347, 272, 58, 126]",7308.0,6879,0.9861898531763338,0.6668582558631897,0.7436869740486145,0.4554973840713501,0.9897959232330322,0.009056687355041504,60.91926632222312,143.58381641770882,501.9138375432544,0.9861898531763338,503.0,503.196491745283,5.481275433767955,8.0,501.9138375432544,499.0,2.913837543254374,1.086162456745626,1446.2838801440387,1.0,"[229.74125733885253, 259.5167447887395, 156.39605205269388, 133.3900035168121]",0.20189539855821717,0.11569965870307167,68.62575717319426,0.3503075268354344,not_logged,not_logged,not_logged
only_Milk_rotation_spike,only_Milk,jitter_recall_smoothing,000725,0.5383379459381104,0.5383,"[292, 374, 55, 105]",5775.0,5072,0.9753548895899053,0.5686110854148865,0.6956035494804382,0.3468921482563019,0.9795918464660645,0.006058752536773682,-7.1247959940583625,268.22257136450094,512.1592225135048,0.9753548895899053,504.0,504.45098039215685,4.433614334984066,7.0,512.1592225135048,507.0,5.159222513504801,8.159222513504801,481.1093294141606,1.0,"[299.3284122641353, 361.11778443739763, 153.71841039678617, 100.38205463315109]",0.24487375008426976,0.19868238557558945,58.68780259904245,0.3742570785421145,not_logged,not_logged,not_logged
