frame,prev_frame,rotation_delta_deg,translation_delta_mm
000460,000455,3.3513861252676547,10.165025820833804
000445,000440,3.2164679151587268,3.758712344672363
000205,000200,3.165756868199707,30.690916446953413
000245,000240,3.126513548600807,46.473280931353536
000455,000450,3.081573493757338,8.765307291611476
000425,000420,3.0276830465623377,7.486298556144602
000440,000435,3.024250177531649,4.064742222004909
000815,000810,3.019347504509847,6.400007330480958
000430,000425,2.9917014073666994,8.514419265989618
000605,000600,2.9820425732408715,23.460366493900892
000265,000260,2.9063457435978686,36.717107846595894
000240,000235,2.889242739827515,42.88309411116749
000315,000310,2.7795302745701425,36.18532345558008
000790,000785,2.725645139586516,13.54303095304109
000250,000245,2.7132766380227875,45.87939290108699
000505,000500,2.7108920254391493,12.875086237346764
000135,000130,2.6441544505064947,26.287362092308257
000200,000195,2.6325303851994653,40.04371850358387
000105,000100,2.5828391980695886,6.282051608229359
000235,000230,2.474639101424877,33.90587369763109
000465,000460,2.4653872266034553,16.978644411786263
000435,000430,2.4254055670730583,9.082432879862408
000470,000465,2.4216592072002343,22.559964872754968
000260,000255,2.41314328207304,39.87537392000245
000650,000645,2.4063199737928276,24.235571929290373
000785,000780,2.4025323212284033,22.326559388862304
000190,000185,2.306749277683328,36.887391037413146
000860,000855,2.2256142589582693,2.016331827402601
000475,000470,2.108496801600545,23.111870326546534
000610,000605,2.080404734770877,17.039025131114716
000215,000210,2.0537933813291267,18.990551536254163
000230,000225,2.048782358005178,25.280980504652693
000615,000610,2.040158064526058,12.526499008702418
000620,000615,1.8995732399581104,8.100510483470387
000115,000110,1.880229309253864,14.468212297603165
000320,000315,1.868183228514069,33.33172548351763
000640,000635,1.855221748675835,28.543692298471502
000500,000495,1.790038050085074,6.87601858950876
000210,000205,1.6897850435164146,18.32273408999251
000360,000355,1.6755859246222495,25.711397989044162
000795,000790,1.659841063270027,9.271126039849102
000290,000285,1.6146575632404823,27.157899433034164
000125,000120,1.5964051930438448,20.06584242993398
000665,000660,1.5859122701976165,19.296286415434782
000655,000650,1.5191093503084077,18.14139565384305
000350,000345,1.5110691533692377,42.22759308546724
000295,000290,1.491882275464791,22.54707645144173
000680,000675,1.4815194909619953,26.705982946373684
000110,000105,1.4772263401086387,32.5718075366754
000270,000265,1.4278664533749545,31.924926851284674
000120,000115,1.375747675180313,19.067242738165092
000145,000140,1.3418811498534566,22.871767423760637
000485,000480,1.3171796089738035,17.191626201041153
000355,000350,1.2714724329349987,18.095022317988896
000305,000300,1.2331414500205564,19.185144127992665
000300,000295,1.1856644151813538,19.433494094266752
000495,000490,1.1592392222696482,9.276383174499529
000340,000335,1.1569293728641317,46.403482257276764
000130,000125,1.1450996256781711,22.342499041341938
000535,000530,1.1426319383645367,12.787148877371047
000525,000520,1.1208363796148255,4.401645213011751
000670,000665,1.1125346455838538,19.580885326282154
000540,000535,1.0697103293853327,14.681722968148627
000490,000485,1.0586707501102528,11.607434669569777
000530,000525,1.0563716436047343,6.576090317739649
000325,000320,1.026898370919475,30.636717887604632
000310,000305,1.025980577913678,27.152891930174626
000625,000620,1.0169018882410004,4.833442611922323
000645,000640,0.9919201666400292,9.534496483270123
000070,000065,0.9475660962978874,11.67411640531994
000140,000135,0.9348149405372637,22.074125399568615
000660,000655,0.9250640092050909,14.00587788521183
000800,000795,0.8697067278339381,6.043876898455199
000335,000330,0.8609352634768004,22.728170818727307
000675,000670,0.8251477714223943,26.909956441675046
000365,000360,0.820039886463974,16.407382989717163
000520,000515,0.8039211119282986,3.371835589736475
000630,000625,0.7961454128182687,3.471025418827123
000825,000820,0.7848577227735296,1.7566279298994756
000805,000800,0.7605725620860491,3.9774035650153072
000220,000215,0.7473721088848186,18.758950070229734
000275,000270,0.6600601462251775,28.193071156966173
000060,000055,0.6542096222918983,2.625734535703343
000835,000830,0.6483295338009908,1.1985246754836387
000635,000630,0.6439631238878959,3.4476015566295493
000820,000815,0.6318375283770248,2.1568451845615724
000005,000000,0.621855915130499,0.9905616786121182
000330,000325,0.559909922548604,26.117382388733866
000025,000020,0.5587295283900305,1.028683857653196
000065,000060,0.5436234361877439,5.017455990868241
000280,000275,0.5429437536878475,25.22161815479271
000045,000040,0.5285699753251916,0.8446070148105578
000035,000030,0.5100050395511408,0.7901835185459107
000285,000280,0.5070997540923519,22.788015720264692
000480,000475,0.4403963001788745,21.538076054575477
000830,000825,0.39280566531413297,0.5986489604934876
000345,000340,0.3863714011471869,13.55922706490022
