transition_start,frame,should_output_pose,skip_reason,pose_output,accepted_count,rank0_score,rank0_bbox_area,rank0_mask_area,rank0_reject_reasons
002185,002194,True,no_ism_candidate,False,0,0.512535810470581,8732.0,6613,final_score_below_min;mask_area_below_min;bbox_area_below_min
002185,002200,True,no_ism_candidate,False,0,0.5149255394935608,7632.0,5821,final_score_below_min;mask_area_below_min;bbox_area_below_min
002185,002204,True,no_ism_candidate,False,0,0.5227448344230652,8379.0,6167,final_score_below_min;mask_area_below_min;bbox_area_below_min
002185,002210,True,no_ism_candidate,False,0,0.5418936014175415,11396.0,8631,final_score_below_min;mask_area_below_min
002185,002215,True,no_ism_candidate,False,0,0.5491615533828735,11250.0,8819,final_score_below_min;mask_area_below_min
002185,002220,True,no_ism_candidate,False,0,0.5395119786262512,11324.0,8548,final_score_below_min;mask_area_below_min
002185,002225,True,no_ism_candidate,False,0,0.5503858327865601,11856.0,8851,mask_area_below_min
002185,002231,True,no_ism_candidate,False,0,0.5607035160064697,8151.0,5414,mask_area_below_min;bbox_area_below_min
002185,002236,True,no_ism_candidate,False,0,0.5140883922576904,12432.0,9402,final_score_below_min
002185,002241,True,no_ism_candidate,False,0,0.5202692747116089,8493.0,4023,final_score_below_min;mask_area_below_min;bbox_area_below_min
