after_extent,after_mean,before_extent,before_mean,template_dir,variant,view
"[63.0, 57.125, 181.625]","[-18.515625, 12.703125, -18.921875]","[0.062988, 0.057129, 0.181641]","[-0.018524, 0.012703, -0.018936]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,9
"[62.0, 62.5, 182.625]","[24.4375, -0.028595, -22.859375]","[0.062012, 0.0625, 0.182617]","[0.024445, -2.9e-05, -0.022873]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,10
"[70.8125, 57.125, 182.625]","[-6.75, -20.171875, -12.390625]","[0.070801, 0.057129, 0.182617]","[-0.006752, -0.020157, -0.01239]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,11
"[70.8125, 56.625, 182.625]","[-6.753906, 20.046875, -12.398438]","[0.070801, 0.056641, 0.182617]","[-0.006752, 0.020035, -0.012398]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,12
"[61.5, 57.125, 182.625]","[19.0625, 13.148438, -14.84375]","[0.061523, 0.057129, 0.182617]","[0.019058, 0.013145, -0.014847]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,13
"[62.0, 57.125, 182.625]","[18.96875, -13.304688, -14.859375]","[0.062012, 0.057129, 0.182617]","[0.018967, -0.013306, -0.014862]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,14
"[62.0, 62.0, 182.625]","[-25.375, -0.020355, -18.734375]","[0.062012, 0.062012, 0.182617]","[-0.025375, -2e-05, -0.018738]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,15
"[66.875, 45.40625, 184.125]","[-13.898438, -18.765625, 2.720703]","[0.066895, 0.04541, 0.184082]","[-0.013901, -0.018753, 0.002722]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,16
"[54.1875, 59.5625, 184.125]","[-25.375, -7.960938, -0.713867]","[0.054199, 0.05957, 0.184082]","[-0.025375, -0.007957, -0.000714]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,17
"[52.25, 59.5625, 184.125]","[-25.375, 7.824219, -0.599121]","[0.052246, 0.05957, 0.184082]","[-0.025375, 0.007828, -0.000599]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,18
"[66.875, 45.90625, 184.125]","[-13.953125, 18.59375, 2.78125]","[0.066895, 0.045898, 0.184082]","[-0.013954, 0.018585, 0.002781]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,19
"[72.75, 29.296875, 184.125]","[-0.010796, 22.125, 3.185547]","[0.072754, 0.029297, 0.184082]","[-1.1e-05, 0.022125, 0.003185]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,20
"[66.875, 45.90625, 184.125]","[13.9375, 18.59375, 2.78125]","[0.066895, 0.045898, 0.184082]","[0.013939, 0.018585, 0.002781]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,21
"[51.75, 59.0625, 184.125]","[25.359375, 7.828125, -0.598633]","[0.051758, 0.059082, 0.184082]","[0.02536, 0.007828, -0.000598]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,22
